STNAME,CTYNAME,POPESTIMATE2023
Georgia,Wilkes County,9518
Georgia,Wilkinson County,8725
Georgia,Worth County,20273
Hawaii,Hawaii County,207615
Hawaii,Honolulu County,989408
Hawaii,Kalawao County,81
Hawaii,Kauai County,73851
Hawaii,Maui County,164183
Idaho,Ada County,524673
Idaho,Adams County,4903
Idaho,Bannock County,90400
Idaho,Bear Lake County,6766
Idaho,Benewah County,10369
Idaho,Bingham County,50395
Idaho,Blaine County,25041
Idaho,Boise County,8517
Idaho,Bonner County,52547
Idaho,Bonneville County,131366
Idaho,Boundary County,13557
Idaho,Butte County,2758
Idaho,Camas County,1232
Idaho,Canyon County,257674
Idaho,Caribou County,7219
Idaho,Cassia County,25696
Idaho,Clark County,801
Idaho,Clearwater County,9214
Idaho,Custer County,4523
Idaho,Elmore County,29724
Idaho,Franklin County,15494
Idaho,Fremont County,14196
Idaho,Gem County,21071
Idaho,Gooding County,16061
Idaho,Idaho County,17890
Idaho,Jefferson County,34198
Idaho,Jerome County,25479
Idaho,Kootenai County,185010
Idaho,Latah County,41301
Idaho,Lemhi County,8441
Idaho,Lewis County,3739
Idaho,Lincoln County,5450
Idaho,Madison County,54547
Idaho,Minidoka County,22480
Idaho,Nez Perce County,42987
Idaho,Oneida County,4953
Idaho,Owyhee County,12722
Idaho,Payette County,27279
Idaho,Power County,8253
Idaho,Shoshone County,14026
Idaho,Teton County,12549
Idaho,Twin Falls County,95156
Idaho,Valley County,12644
Idaho,Washington County,11425
Illinois,Adams County,64441
Illinois,Alexander County,4695
Illinois,Bond County,16450
Illinois,Boone County,53202
Illinois,Brown County,6294
Illinois,Bureau County,32729
Illinois,Calhoun County,4317
Illinois,Carroll County,15526
Illinois,Cass County,12596
Illinois,Champaign County,205644
Illinois,Christian County,33228
Illinois,Clark County,15088
Illinois,Clay County,12999
Illinois,Clinton County,36785
Illinois,Coles County,46060
Illinois,Cook County,5087072
Illinois,Crawford County,18300
Illinois,Cumberland County,10261
Illinois,DeKalb County,100288
Illinois,De Witt County,15365
Illinois,Douglas County,19629
Illinois,DuPage County,921213
Illinois,Edgar County,16334
Illinois,Edwards County,5968
Illinois,Effingham County,34331
Illinois,Fayette County,21164
Illinois,Ford County,13250
Illinois,Franklin County,37138
Illinois,Fulton County,32541
Illinois,Gallatin County,4670
Illinois,Greene County,11543
Illinois,Grundy County,53578
Illinois,Hamilton County,7911
Illinois,Hancock County,17186
Illinois,Hardin County,3569
Illinois,Henderson County,6088
Illinois,Henry County,48448
Illinois,Iroquois County,26136
Illinois,Jackson County,52141
Illinois,Jasper County,9144
Illinois,Jefferson County,36320
Illinois,Jersey County,21091
Illinois,Jo Daviess County,21756
Illinois,Johnson County,13326
Illinois,Kane County,514982
Illinois,Kankakee County,105940
Illinois,Kendall County,139976
Illinois,Knox County,48411
Illinois,Lake County,708760
Illinois,LaSalle County,108309
Illinois,Lawrence County,14813
Illinois,Lee County,33654
Illinois,Livingston County,35320
Illinois,Logan County,27590
Illinois,McDonough County,26839
