STNAME,CTYNAME,POPESTIMATE2020,POPESTIMATE2021,POPESTIMATE2022,POPESTIMATE2023
California,San Bernardino County,2183391,2193087,2194908,2195611
California,San Diego County,3295298,3274432,3277176,3269973
California,San Francisco County,870518,811935,807774,808988
California,San Joaquin County,780617,788354,794293,800965
California,San Luis Obispo County,281884,279464,282046,281639
California,San Mateo County,762479,739149,728929,726353
California,Santa Barbara County,448424,437521,443915,441257
California,Santa Clara County,1931168,1885173,1878335,1877592
California,Santa Cruz County,270474,260475,264240,261547
California,Shasta County,182002,182135,180937,180366
California,Sierra County,3225,3294,3222,3200
California,Siskiyou County,43995,44139,43786,42905
California,Solano County,452723,450653,448885,449218
California,Sonoma County,488282,484519,482669,481812
California,Stanislaus County,553257,552723,551226,551430
California,Sutter County,99479,99152,98569,97948
California,Tehama County,65687,65446,65299,64896
California,Trinity County,16091,16082,15778,15670
California,Tulare County,473914,477176,477884,479468
California,Tuolumne County,55379,55131,54587,54204
California,Ventura County,843371,839471,832871,829590
California,Yolo County,216291,213141,222018,220544
California,Yuba County,81958,83227,84353,85722
Colorado,Adams County,520500,523544,527509,533365
Colorado,Alamosa County,16377,16579,16587,16655
Colorado,Arapahoe County,655272,656855,656269,656061
Colorado,Archuleta County,13424,13806,13989,14189
Colorado,Baca County,3480,3490,3435,3344
Colorado,Bent County,5473,5339,5439,5681
Colorado,Boulder County,330938,327084,327339,326831
Colorado,Broomfield County,74490,75411,76195,76860
Colorado,Chaffee County,19484,19741,20265,20617
Colorado,Cheyenne County,1746,1719,1731,1727
Colorado,Clear Creek County,9393,9457,9367,9147
Colorado,Conejos County,7451,7582,7587,7521
Colorado,Costilla County,3502,3613,3615,3628
Colorado,Crowley County,5688,5735,5627,5636
Colorado,Custer County,4723,5063,5337,5534
Colorado,Delta County,31056,31392,31560,31746
Colorado,Denver County,717606,711467,713453,716577
Colorado,Dolores County,2331,2375,2460,2513
Colorado,Douglas County,360323,369783,375937,383906
Colorado,Eagle County,55657,55774,55218,54381
Colorado,Elbert County,26216,27159,27842,28806
Colorado,El Paso County,732384,737287,740596,744215
Colorado,Fremont County,48878,49237,49616,50318
Colorado,Garfield County,61794,62107,62256,62707
Colorado,Gilpin County,5820,5893,5886,5926
Colorado,Grand County,15747,15851,15734,15935
Colorado,Gunnison County,16950,17294,17320,17321
Colorado,Hinsdale County,788,773,771,765
Colorado,Huerfano County,6827,6934,7097,7055
Colorado,Jackson County,1379,1359,1314,1309
Colorado,Jefferson County,583081,580703,575811,576366
Colorado,Kiowa County,1455,1454,1434,1384
Colorado,Kit Carson County,7062,6927,6983,6994
Colorado,Lake County,7408,7395,7346,7365
Colorado,La Plata County,55673,56169,56553,56407
Colorado,Larimer County,359923,362747,367577,370771
Colorado,Las Animas County,14490,14334,14311,14348
Colorado,Lincoln County,5662,5473,5510,5480
Colorado,Logan County,21210,21006,20792,20619
Colorado,Mesa County,156011,157439,158531,159681
Colorado,Mineral County,874,929,931,944
Colorado,Moffat County,13269,13165,13205,13327
Colorado,Montezuma County,25887,26234,26467,26531
Colorado,Montrose County,42818,43236,43807,44156
Colorado,Morgan County,29076,29006,29266,29524
Colorado,Otero County,18664,18527,18311,18136
Colorado,Ouray County,4882,5063,5103,5176
Colorado,Park County,17418,17744,17921,18117
Colorado,Phillips County,4527,4502,4448,4476
Colorado,Pitkin County,17355,17337,16847,16640
Colorado,Prowers County,12017,11990,11873,11751
Colorado,Pueblo County,168337,169316,169472,169422
Colorado,Rio Blanco County,6520,6442,6549,6569
Colorado,Rio Grande County,11541,11406,11337,11188
Colorado,Routt County,24832,25058,25072,25064
Colorado,Saguache County,6389,6511,6627,6688
Colorado,San Juan County,711,741,806,802
Colorado,San Miguel County,8054,8080,8008,7868
Colorado,Sedgwick County,2389,2326,2286,2299
Colorado,Summit County,31001,30998,30636,30465
Colorado,Teller County,24744,24945,24860,24617
Colorado,Washington County,4813,4868,4847,4855
Colorado,Weld County,331458,339897,350266,359442
Colorado,Yuma County,9971,9925,9895,9862
Connecticut,Capitol Planning Region,962436,970142,972068,975328
Connecticut,Greater Bridgeport Planning Region,324387,326752,327125,327651
Connecticut,Lower Connecticut River Valley Planning Region,173268,175430,175982,176215
Connecticut,Naugatuck Valley Planning Region,449285,452281,453590,456128
Connecticut,Northeastern Connecticut Planning Region,95222,95605,96148,96692
Connecticut,Northwest Hills Planning Region,112202,112953,113277,113463
Connecticut,South Central Connecticut Planning Region,564076,568450,568402,568158
Connecticut,Southeastern Connecticut Planning Region,278342,278820,279257,279634
Connecticut,Western Connecticut Planning Region,618368,623258,622857,623907
Delaware,Kent County,182315,185043,187758,189789
Delaware,New Castle County,570918,572029,575254,578592
Delaware,Sussex County,238629,247809,256447,263509
Florida,Alachua County,279737,281889,284041,285994
Florida,Baker County,28116,28669,27786,28368
Florida,Bay County,174525,179520,185210,190769
Florida,Bradford County,28222,28050,27296,27858
Florida,Brevard County,608775,617900,630707,643979
Florida,Broward County,1943398,1935575,1946889,1962531
Florida,Calhoun County,13707,13518,13465,13470
Florida,Charlotte County,187995,194934,202582,206134
Florida,Citrus County,154568,158167,162508,166696
Florida,Clay County,218951,222648,226634,232439
Florida,Collier County,377310,387226,397516,404310
Florida,Columbia County,69740,69932,71870,73063
Florida,DeSoto County,34086,34333,35320,35979
Florida,Dixie County,16687,16933,17120,17465
Florida,Duval County,997784,1002774,1017011,1030822
