County,State,Administered_Dose_Count,Death Per 100k,Avg Temp (F),Max Temp (F),Min Temp (F),Population Estimate,Administered Dose Per 100k
Ballard County,Kentucky,3468.0,3310.472170931153,60.3,70.8,49.8,7582.0,45739.910313901346
Baltimore County,Maryland,697468.0,3593.689142811142,57.1,67.7,46.4,844703.0,82569.61322500334
Bamberg County,South Carolina,8442.0,4401.109912131957,64.5,76.0,53.1,12974.0,65068.5987359334
Bandera County,Texas,14501.0,2818.3946636038345,69.6,81.8,57.4,22637.0,64058.8417193091
Banks County,Georgia,6881.0,1955.631916721411,62.7,73.8,51.6,19789.0,34771.84294304917
Bannock County,Idaho,54533.0,3618.362831858407,44.8,55.9,33.7,90400.0,60324.11504424778
Baraga County,Michigan,5677.0,3898.916967509025,42.0,51.6,32.4,8310.0,68315.2827918171
Barber County,Kansas,2418.0,4126.750184229919,58.9,72.1,45.6,4071.0,59395.725865880624
Barbour County,Alabama,14256.0,3945.495220663006,66.7,77.8,55.6,24585.0,57986.57718120806
Barbour County,West Virginia,9292.0,3667.577058134998,53.5,65.0,42.1,15378.0,60423.98231239433
Barnes County,North Dakota,7114.0,4130.151034868543,41.9,52.4,31.3,10726.0,66324.81819876934
Barnwell County,South Carolina,13944.0,2953.978578764611,64.7,76.2,53.2,20447.0,68195.82334816844
Barren County,Kentucky,23626.0,5163.52648418059,59.1,71.0,47.2,45008.0,52492.89015286171
Barron County,Wisconsin,26839.0,3945.935558260201,44.8,55.1,34.6,46833.0,57307.88119488395
Barrow County,Georgia,39063.0,1806.19018880938,63.1,74.3,52.0,92792.0,42097.37908440383
Barry County,Michigan,31553.0,2554.5386158475426,50.4,59.7,41.0,63808.0,49449.91223671013
Barry County,Missouri,19641.0,3473.699135119807,58.9,70.5,47.2,35265.0,55695.4487452148
Bartholomew County,Indiana,59286.0,4053.426663333452,56.1,67.0,45.2,84003.0,70576.0508553266
Barton County,Kansas,12725.0,3486.0837784649984,56.0,69.3,42.8,24899.0,51106.470139363024
Barton County,Missouri,4657.0,3307.475918506521,58.9,70.7,47.2,11731.0,39698.23544454863
Bartow County,Georgia,47055.0,3397.9190027903096,62.0,73.6,50.3,115041.0,40902.8085639033
Bastrop County,Texas,63833.0,1839.715466969976,71.5,82.8,60.1,110778.0,57622.452111430066
Bates County,Missouri,7421.0,3878.8326560768382,58.0,69.9,46.2,16242.0,45690.185937692404
Bath County,Kentucky,7705.0,2928.7090558766863,56.7,68.2,45.1,12975.0,59383.42967244702
Bath County,Virginia,2089.0,5776.351518143668,53.3,64.5,42.1,4051.0,51567.51419402617
Baxter County,Arkansas,23874.0,8032.65306122449,59.8,71.5,48.1,42875.0,55682.798833819244
Bay County,Florida,114373.0,4373.8762587212805,70.2,80.2,60.1,190769.0,59953.661234267616
Bay County,Michigan,61688.0,5477.073170731707,49.8,58.2,41.5,102500.0,60183.414634146335
Bayfield County,Wisconsin,14393.0,2450.951159878347,42.9,52.7,33.1,16769.0,85830.99767427992
Baylor County,Texas,1602.0,5659.832515160266,66.7,80.0,53.5,3463.0,46260.4678024834
Beadle County,South Dakota,12566.0,2853.3510285335105,46.7,58.5,34.9,19591.0,64141.69771834005
Bear Lake County,Idaho,3294.0,2926.396689328998,39.9,52.1,27.7,6766.0,48684.599467927874
Beaufort County,North Carolina,35646.0,4260.24594770801,62.6,72.7,52.6,44481.0,80137.58683482835
Beaufort County,South Carolina,162920.0,3198.327461691937,67.4,75.9,58.9,198979.0,81877.98712426939
Beauregard Parish,Louisiana,16336.0,2845.738181225731,70.2,81.5,59.0,36827.0,44358.75851956445
Beaver County,Oklahoma,2146.0,2650.458349940215,58.5,72.6,44.2,5018.0,42766.042247907535
Beaver County,Pennsylvania,99878.0,4333.729796958299,52.3,62.6,42.0,165631.0,60301.51360554485
Beaver County,Utah,3890.0,3013.963777132587,48.5,62.3,34.7,7233.0,53781.28024332919
Beaverhead County,Montana,5734.0,4046.535154274153,38.1,48.9,27.3,9885.0,58007.081436519984
Becker County,Minnesota,21691.0,3367.0606240965903,42.2,52.7,31.6,35283.0,61477.19865090837
Beckham County,Oklahoma,10748.0,4087.650848380365,62.3,75.9,48.8,22042.0,48761.45540332093
Bedford County,Pennsylvania,21706.0,3246.040126715945,52.7,63.9,41.4,47350.0,45841.6050686378
Bedford County,Tennessee,25818.0,2706.625200263877,60.8,72.5,49.1,53055.0,48662.708510036755
Bedford County,Virginia,41482.0,2832.260042931616,57.3,68.3,46.3,81525.0,50882.55136461208
Bee County,Texas,20201.0,2852.512155591572,73.4,84.4,62.3,30850.0,65481.36142625608
Belknap County,New Hampshire,46650.0,3692.3124240700017,47.8,57.5,38.1,65027.0,71739.43131314685
Bell County,Kentucky,14230.0,5515.289273920316,56.6,68.0,45.3,23317.0,61028.43418964704
Bell County,Texas,275349.0,3170.9618431660783,69.7,80.9,58.5,393193.0,70028.96796229841
Belmont County,Ohio,38083.0,3516.7442003758592,52.9,63.4,42.3,64918.0,58663.23669860439
Beltrami County,Minnesota,37729.0,3435.506656963055,41.5,51.8,31.3,46718.0,80759.02221841688
Ben Hill County,Georgia,7651.0,4448.855674918263,67.3,78.7,55.8,17128.0,44669.546940681925
Benewah County,Idaho,6135.0,3221.139936348732,47.6,58.0,37.2,10369.0,59166.74703442954
Bennett County,South Dakota,2813.0,3570.3479576399395,48.5,60.8,36.3,3305.0,85113.46444780636
Bennington County,Vermont,18945.0,4921.603958798375,46.3,56.1,36.5,37183.0,50950.70327837991
Benson County,North Dakota,4396.0,2489.1209747606613,40.7,51.5,30.0,5745.0,76518.71192341167
Bent County,Colorado,1607.0,3502.904418236226,53.8,69.4,38.1,5681.0,28287.2733673649
Benton County,Arkansas,198001.0,2508.898341869954,59.9,71.7,48.2,311013.0,63663.255233704054
Benton County,Indiana,4116.0,2256.844999427197,52.6,63.5,41.7,8729.0,47153.16760224539
Benton County,Iowa,16504.0,2449.9922468599784,50.2,61.6,38.8,25796.0,63978.91145914095
Benton County,Minnesota,20268.0,2675.480769230769,45.1,55.0,35.1,41600.0,48721.153846153844
Benton County,Mississippi,5149.0,2917.450927668728,62.7,74.2,51.2,7438.0,69225.59827910729
Benton County,Missouri,11163.0,4189.373297002725,57.7,69.5,45.9,20552.0,54315.88166601791
Benton County,Oregon,79442.0,2744.772957538915,53.1,63.2,42.9,97713.0,81301.36215242598
Benton County,Tennessee,8159.0,4024.09488915109,60.9,71.9,49.9,16103.0,50667.57747003664
Benton County,Washington,133436.0,3470.883146934053,53.6,64.5,42.7,215219.0,62000.10222145814
Benzie County,Michigan,12005.0,2960.793883195054,47.8,56.5,39.2,18441.0,65099.506534352804
Bergen County,New Jersey,917607.0,3167.261124151123,55.3,64.9,45.7,957736.0,95810.01445074634
Berkeley County,South Carolina,150658.0,2314.8928167010818,66.0,76.6,55.5,255217.0,59031.33411959235
Berkeley County,West Virginia,83188.0,3076.109936575053,55.3,67.4,43.2,132440.0,62811.83932346723
Berks County,Pennsylvania,322233.0,3450.156069137126,54.1,64.7,43.5,432821.0,74449.48373577067
Berkshire County,Massachusetts,102020.0,4564.809411913135,48.5,58.0,38.8,126818.0,80445.99347095838
Bernalillo County,New Mexico,625314.0,4502.0295241413605,54.6,69.4,39.8,671586.0,93110.04100740635
Berrien County,Georgia,7995.0,3166.397415185784,67.4,79.2,55.6,18570.0,43053.31179321486
Berrien County,Michigan,97332.0,4267.671958019453,51.7,60.8,42.7,152261.0,63924.445524461284
Bertie County,North Carolina,13530.0,4177.993145018319,62.1,73.0,51.3,16922.0,79955.0880510578
Bexar County,Texas,1765180.0,3284.9877782935023,72.0,83.8,60.3,2087679.0,84552.27072744421
Bibb County,Alabama,9825.0,3091.2749222608377,64.7,76.6,52.8,21868.0,44928.662886409365
Bibb County,Georgia,84571.0,7147.694745450828,65.8,78.1,53.6,156512.0,54034.83438969537
Bienville Parish,Louisiana,7807.0,4318.292091217855,67.5,78.8,56.1,12366.0,63132.78343846029
Big Horn County,Montana,14707.0,2556.662222570779,46.2,58.5,33.8,12751.0,115339.97333542467
Big Horn County,Wyoming,5368.0,3752.7042769179566,43.8,55.8,31.8,12018.0,44666.33383258445
Big Stone County,Minnesota,3485.0,5132.223310479922,45.3,56.5,34.2,5105.0,68266.40548481881
Bingham County,Idaho,26360.0,2405.0004960809606,44.1,55.9,32.2,50395.0,52306.77646591923
Black Hawk County,Iowa,89391.0,4279.87828712894,50.4,61.6,39.0,130471.0,68514.07592491819
Blackford County,Indiana,6314.0,3590.3472630959386,53.5,64.0,43.0,11893.0,53090.05297233666
Bladen County,North Carolina,27847.0,3578.2119115452447,63.7,74.8,52.6,29484.0,94447.83611450279
Blaine County,Idaho,22821.0,1605.3671977956153,41.9,53.4,30.5,25041.0,91134.53935545706
Blaine County,Montana,6896.0,2362.6612552543847,44.2,56.3,32.1,6899.0,99956.51543701986
Blaine County,Oklahoma,5291.0,3981.73088183628,61.0,74.2,47.8,8539.0,61962.75910528165
Blair County,Pennsylvania,79159.0,6275.722730787458,51.6,62.0,41.1,120273.0,65816.10170196136
Blanco County,Texas,8205.0,2406.499080318823,69.7,81.7,57.6,13048.0,62883.20049049662
Bland County,Virginia,2945.0,3641.365916815019,52.8,64.0,41.5,6179.0,47661.4338889788
Bleckley County,Georgia,5633.0,3337.3445647813883,66.4,78.4,54.3,12465.0,45190.53349378259
Bledsoe County,Tennessee,6578.0,2762.284196547145,58.4,68.7,48.1,15060.0,43678.618857901725
Blount County,Alabama,22914.0,3059.382105122375,63.3,73.8,52.7,59816.0,38307.4762605323
Blount County,Tennessee,80076.0,4135.56158805565,59.4,70.3,48.5,141456.0,56608.41533763149
Blue Earth County,Minnesota,45340.0,3284.0042282090108,47.5,57.3,37.6,70006.0,64765.87721052481
Boise County,Idaho,3249.0,2371.72713396736,43.6,55.2,32.1,8517.0,38147.23494188094
Bolivar County,Mississippi,21637.0,4494.614747307374,65.4,75.9,54.9,28968.0,74692.76442971555
