Year,County,State,Administered_Dose_Count,Population,Avg Temp,Max Temp,Min Temp,Death Per 100k
2023.0,Aleutians East Borough,Alaska,2900.0,3461.0,,,,722.334585379948
2021.0,Aleutians West Census Area,Alaska,3903.0,5147.0,,,,
2022.0,Aleutians West Census Area,Alaska,4384.0,5090.0,,,,
2023.0,Aleutians West Census Area,Alaska,4410.0,5160.0,,,,
2021.0,Alexander County,Illinois,2010.0,5025.0,58.7,68.7,48.7,3556.9755058572946
2022.0,Alexander County,Illinois,2474.0,4841.0,57.7,68.6,46.7,3556.9755058572946
2023.0,Alexander County,Illinois,2469.0,4695.0,59.6,70.0,49.2,3556.9755058572946
2021.0,Alexander County,North Carolina,19893.0,36364.0,58.7,70.1,47.2,2516.9303320264307
2022.0,Alexander County,North Carolina,22800.0,36316.0,58.1,69.7,46.5,2516.9303320264307
2023.0,Alexander County,North Carolina,22936.0,36473.0,59.0,70.7,47.4,2516.9303320264307
2021.0,Alexandria city,Virginia,115217.0,155105.0,,,,2247.6325452554274
2022.0,Alexandria city,Virginia,135606.0,155045.0,,,,2247.6325452554274
2023.0,Alexandria city,Virginia,137100.0,155230.0,,,,2247.6325452554274
2021.0,Alfalfa County,Oklahoma,2779.0,5695.0,59.7,72.5,47.0,1515.9527586814736
2022.0,Alfalfa County,Oklahoma,3014.0,5689.0,59.4,73.4,45.4,1515.9527586814736
2023.0,Alfalfa County,Oklahoma,3030.0,5673.0,60.1,73.2,47.1,1515.9527586814736
2021.0,Alger County,Michigan,5957.0,8774.0,43.7,53.1,34.4,3585.702866278405
2022.0,Alger County,Michigan,6207.0,8773.0,40.6,49.8,31.4,3585.702866278405
2023.0,Alger County,Michigan,6224.0,8757.0,43.2,51.8,34.5,3585.702866278405
2021.0,Allamakee County,Iowa,7756.0,13968.0,47.9,57.5,38.3,3801.335796504192
2022.0,Allamakee County,Iowa,8504.0,14018.0,44.8,54.7,34.8,3801.335796504192
2023.0,Allamakee County,Iowa,8557.0,14074.0,48.5,58.3,38.6,3801.335796504192
2021.0,Allegan County,Michigan,60747.0,121068.0,50.6,60.2,41.0,2730.873633538081
2022.0,Allegan County,Michigan,63391.0,121290.0,48.7,58.2,39.3,2730.873633538081
2023.0,Allegan County,Michigan,63638.0,121939.0,50.9,59.9,41.8,2730.873633538081
2021.0,Allegany County,Maryland,41987.0,67687.0,53.5,64.5,42.6,5997.948656964904
2022.0,Allegany County,Maryland,45331.0,67266.0,51.9,63.6,40.3,5997.948656964904
2023.0,Allegany County,Maryland,45566.0,67273.0,53.8,65.4,42.2,5997.948656964904
2021.0,Allegany County,New York,20995.0,46938.0,48.2,58.1,38.4,3243.231656341772
